flowering_season,plant_id,notes,origin,description,flowering,spacing,growth_rate,native,nickname,height,hebrew_name,latin_name,image_url,evergreen,duplicate_of,plant_type,water,climate_zones,resistance,duplicate_status,foliage,flower_color,uniqueness,light,letter,family,coastal,care,id,created_date,updated_date,created_by_id,created_by,is_sample
קיץ,,,,,,"מ- 70 ס""מ עד 1 מטר",,,,מ- 1.5 מטר עד 2 מטר,אבוטילון דו-גוני,Abutilon megapotamicum,https://sloner.co.il/wp-content/uploads/2017/09/Abutilon-Megapotamicum-01.jpg,,,,בינונית,,,,,אדום עם שפה צהובה,,שמש מלאה,,,,,69a504068a840a03ab234638,2026-03-02T03:29:10.484000,2026-03-02T03:29:10.484000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",יוסטיציית הטיפין 'פרוט קוקטייל',Beloperone guttata 'Fruit Cocktail',,,,,בינונית,,,,,"אדום, לבן",,שמש מלאה,,,,,69a503ff3df7a18f643c08a2,2026-03-02T03:29:03.526000,2026-03-02T03:29:03.526000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",יוסטיציה ריזיני,justicia rizzinii,,,,,בינונית,,,,,"אדום, כתום, צהוב",,שמש מלאה,,,,,69a503f43a679fea36c708d9,2026-03-02T03:28:52.906000,2026-03-02T03:28:52.906000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",יהודי-נודד משתלשל,Tradescantia zebrina,https://sloner.co.il/wp-content/uploads/2018/08/יהודי-נודד-משתלשל2.jpg,,,,בינונית,,,,,ורוד,,צל חלקי,,,,,69a503e8062fc11c9258c6dc,2026-03-02T03:28:40.072000,2026-03-02T03:28:40.072000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",יהודי-נודד דו-גוני,Tradescantia spathacea,https://sloner.co.il/wp-content/uploads/2018/08/יהודי-נודד-דו-גוני4.jpg,,,,בינונית,,,,,לבן,,צל חלקי,,,,,69a503e23384d716cb7ba932,2026-03-02T03:28:34.702000,2026-03-02T03:28:34.702000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",יהודי-נודד ארגמני 'סגול',Tradescantia pallida 'Purpurea',https://sloner.co.il/wp-content/uploads/2018/08/יהודי-נודד-ארגמני-סגול7.jpg,,,,בינונית,,,,,סגול,,שמש מלאה,,,,,69a503dc9d009d4a96c722a4,2026-03-02T03:28:28.848000,2026-03-02T03:28:28.848000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 70 ס""מ עד 1 מטר",,,,"מ- 50 ס""מ עד 1 מטר",יהודי-נודד אנדרסוני,Tradescantia x andersoniana,https://sloner.co.il/wp-content/uploads/2018/08/יהודי-נודד-אנדרסוני2.jpg,,,,בינונית,,,,,סגול,,שמש מלאה,,,,,69a503d58a840a03ab234615,2026-03-02T03:28:21.438000,2026-03-02T03:28:21.438000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 70 ס""מ עד 1 מטר",,,,מ- 3 מטר עד 5 מטר,טרכלוספרמום אסייאתי,Trachelospermum asiaticum,,,,,בינונית,,,,,צהוב,,שמש מלאה,,,,,69a503c31b4e6dbdcf75f9e0,2026-03-02T03:28:03.325000,2026-03-02T03:28:03.325000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",טריפטומן מ.ל.י,Thryptomene sp.,https://sloner.co.il/wp-content/uploads/2018/08/טריפטומן-מ.ל.י4.jpg,,,,בינונית,,,,,ורוד,,שמש מלאה,,,,,69a503bde33a6d2fa8a3fc76,2026-03-02T03:27:57.723000,2026-03-02T03:27:57.723000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 1 מטר עד 1.5 מטר,,,,מ- 2 מטר עד 3 מטר,טקומית הכף,Tecoma capensis (tecomaria capensis),https://sloner.co.il/wp-content/uploads/2018/08/טקומית-הכף9.jpg,,,,נמוכה,,,,,"צהוב, כתום, אדום",,שמש מלאה,,,,,69a503b6a7ed9678133a6b91,2026-03-02T03:27:50.571000,2026-03-02T03:27:50.571000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"עד 20 ס""מ",טלמון רב- פרחים,Drosanthemum floribundum,https://sloner.co.il/wp-content/uploads/2018/08/טלמון-רב-פרחים5.jpg,,,,נמוכה,,,,,ורוד,,שמש מלאה,,,,,69a503a9f13a79cb6b68698c,2026-03-02T03:27:37.991000,2026-03-02T03:27:37.991000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 70 ס""מ עד 1 מטר",,,,מ- 1 מטר עד 2 מטר,טליה מלבינה,Thalia dealbata,https://sloner.co.il/wp-content/uploads/2018/08/טליה-מלבינה1.jpg,,,,בינונית,,,,,סגול,,שמש מלאה,,,,,69a5039de8554d35c05e19e5,2026-03-02T03:27:25.368000,2026-03-02T03:27:25.368000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,,,,,,טילנדסיה כחולה,Tillandsia cyanea,https://sloner.co.il/wp-content/uploads/2018/08/טילנדסיה-כחולה4.jpg,,,,בינונית,,,,,"אדום, כחול",,אור עקיף,,,,,69a5038cf5221845be1022bc,2026-03-02T03:27:08.520000,2026-03-02T03:27:08.520000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,"צמח נמוך שרוע או מטפס, בעל פרחים סגולים",,"מ- 70 ס""מ עד 1 מטר",,,,"מ- 50 ס""מ עד 1 מטר",טיבוצ'ינה ג'ולס,Tibouchina jules,https://sloner.co.il/wp-content/uploads/2018/08/טיבוצינה-גולס1.jpg,,,,בינונית,,,,,סגול,,"שמש מלאה, צל חלקי",,,,,69a50386ea42e3b8dd2a0ef4,2026-03-02T03:27:02.054000,2026-03-02T03:27:02.054000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"עד 20 ס""מ",טורניה 'בלו מון',Torenia 'Blue moon',https://sloner.co.il/wp-content/uploads/2018/08/טוריניה-בלו-מון2.jpg,,,,גבוהה,,,,,"כחול, סגול, ורוד, צהוב",,שמש מלאה,,,,,69a5036e75bcfa7cb0f35f4d,2026-03-02T03:26:38.739000,2026-03-02T03:26:38.739000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",טולבגיה חכלילית 'סילבר לייס',Tulbaghia violaceae (cepacea) 'Silver Lace',https://sloner.co.il/wp-content/uploads/2018/08/טולבגיה-חכלילית-סילבר-לייס2.jpg,,,,בינונית,,,,,ורוד,,שמש מלאה,,,,,69a5035b0d177423fadd520a,2026-03-02T03:26:19.460000,2026-03-02T03:26:19.460000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",טולבגיה חכלילית,Tulbaghia violaceae,https://sloner.co.il/wp-content/uploads/2018/08/טולבגיה-חכלילית1.jpg,,,,נמוכה,,,,,"ורוד, לבן",,שמש מלאה,,,,,69a50355edf9073b9e5b2b41,2026-03-02T03:26:13.380000,2026-03-02T03:26:13.380000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,"צבע עלווה: ירוק, צבע פריחה: צהוב, כתום, אדום, מנומר",,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",טגטס מפושק,Tagetes patula,https://sloner.co.il/wp-content/uploads/2018/08/טגטס-מפושק2.jpg,,,,בינונית,,,,,"צהוב, כתום, אדום, מנומר",,שמש מלאה,,,,,69a50350eb11f264afbe866f,2026-03-02T03:26:08.152000,2026-03-02T03:26:08.152000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,מ- 1 מטר עד 2 מטר,טגטס בהיר 'לוסידה',Tagetes lucida,https://sloner.co.il/wp-content/uploads/2018/08/טגטס-בהיר-לוסידה1.jpg,,,,בינונית,,,,,צהוב,,שמש מלאה,,,,,69a50337fdd94993ace85f26,2026-03-02T03:25:43.175000,2026-03-02T03:25:43.175000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",טבק מכונף,Nicotiana alata,https://sloner.co.il/wp-content/uploads/2018/08/טבק-מכונף5.jpg,,,,בינונית,,,,,"ורוד,אדום",,שמש מלאה,,,,,69a503313c34a9a65103e6c1,2026-03-02T03:25:37.786000,2026-03-02T03:25:37.786000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 2 מטר עד 5 מטר,,,,מ- 3 מטר עד 5 מטר,טבבויה צהובה,Tabebuia chrysantha,,,,,נמוכה,,,,,צהוב,,שמש מלאה,,,,,69a5032cfc93b11de4e224bb,2026-03-02T03:25:32.191000,2026-03-02T03:25:32.191000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,מ- 2 מטר עד 5 מטר,,,,מ- 5 מטר עד 12 מטר,טבבויה איפה,Tabebuia impetiginosa,https://sloner.co.il/wp-content/uploads/2018/08/טבבויה-איפה4.jpg,,,,בינונית,,,,,"ורוד, סגול",,שמש מלאה,,,,,69a50326b8f28932e2d4e204,2026-03-02T03:25:26.597000,2026-03-02T03:25:26.597000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,,,,,,טאקה,Tacca,https://sloner.co.il/wp-content/uploads/2018/08/טאקה2.jpg,,,,,,,,,סגול,,צל חלקי,,,,,69a503201599b4a22223ab35,2026-03-02T03:25:20.380000,2026-03-02T03:25:20.380000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,תיאור,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",חרצית שיחית,Chrysanthemum frutescens,https://sloner.co.il/wp-content/uploads/2018/08/חרצית-שיחית6.jpg,,,,בינונית,,,,,"לבן, ורוד, צהוב",,שמש מלאה,,,,,69a50313411de2cf00f90c45,2026-03-02T03:25:07.791000,2026-03-02T03:25:07.791000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",חרצית קרינית,Chrysanthemum C.carinatum,,,,,בינונית,,,,,שלל צבעים,,שמש מלאה,,,,,69a5030c5dc7125f391618fc,2026-03-02T03:25:00.739000,2026-03-02T03:25:00.739000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,תיאור,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חרצית פסיפית,Chrysanthemum pacificum,https://sloner.co.il/wp-content/uploads/2018/08/חרצית-פסיפית9.jpg,,,,בינונית,,,,,צהוב,,שמש מלאה,,,,,69a50307f0f019eefa230190,2026-03-02T03:24:55.844000,2026-03-02T03:24:55.844000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,צמחי תבלין עם פריחה עונתית.,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",חרצית הגננים,Chrysanthemum morifolium,https://sloner.co.il/wp-content/uploads/2018/08/חרצית-הגננים5.jpg,,,,נמוכה,,,,,"לבן, צהוב",,שמש מלאה,,,,,69a502fcc247637868f52f19,2026-03-02T03:24:44.713000,2026-03-02T03:24:44.713000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",חרצית גדולת-פרחים,Chrysanthemum maximum,https://sloner.co.il/wp-content/uploads/2018/08/חרצית-גדולת-פרחים4.jpg,,,,גבוהה,,,,,"לבן, צהוב",,שמש מלאה,,,,,69a502f71d5c1089b228c3cc,2026-03-02T03:24:39.046000,2026-03-02T03:24:39.046000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חרצית ביצנית,Leucanthemum paludosum,,,,,בינונית,,,,,"לבן, צהוב",,שמש מלאה,,,,,69a502f187b534b0f38c1bfe,2026-03-02T03:24:33.015000,2026-03-02T03:24:33.015000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",חצצון רחב עלים,Sagittaria latifolia,,,,,בינונית,,,,,לבן,,צל חלקי,,,,,69a502e4bcd2d4a7f8ca817a,2026-03-02T03:24:20.744000,2026-03-02T03:24:20.744000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 50 ס""מ עד 1 מטר",חפן מחופה 'ננסי',Bracteantha bracteata 'Dwarf',https://sloner.co.il/wp-content/uploads/2018/08/חפן-מחופה4.jpg,,,,בינונית,,,,,שלל צבעים,,שמש מלאה,,,,,69a502da56af07e7b6469500,2026-03-02T03:24:10.039000,2026-03-02T03:24:10.039000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 40 ס""מ עד 70 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חפן מחופה 'דרגן היל מונרק',Bracteantha bracteata 'Dargan Hill Monarch',,,,,בינונית,,,,,צהוב,,שמש מלאה,,,,,69a502d391e943c82951d4c8,2026-03-02T03:24:03.671000,2026-03-02T03:24:03.671000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"עד 20 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חסה תרבותית,Lactuca sativa,https://sloner.co.il/wp-content/uploads/2018/08/חסה-תרבותית2.jpg,,,,בינונית,,,,,לבן,,שמש מלאה,,,,,69a502c74e242ce5e885da7e,2026-03-02T03:23:51.972000,2026-03-02T03:23:51.972000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
,,,,,,"מ- 20 ס""מ עד 40 ס""מ",,,,"מ- 20 ס""מ עד 50 ס""מ",חמשן תורברי 'קליפסו',Potentilla thurberi,,,,,בינונית,,,,,"אדום, שחור",,שמש מלאה,,,,,69a502c15536baeabc7a9397,2026-03-02T03:23:45.061000,2026-03-02T03:23:45.061000,service_1a61fa1f-3494-4349-8349-4a40e20b92c7,service+1a61fa1f-3494-4349-8349-4a40e20b92c7@no-reply.base44.com,false
